DateTime;Media;Category/Gatra;Subcategory;Headline;Detail
202210140052;fixsnews;Politik;Kebijakan Internasional;FIFA Tak Beri Sanksi Tragedi Kanjuruhan, Masyarakat Sipil Kirim Surat Keberatan;603
202209290014;fixsnews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Partai Buruh Tolak Perda Kota Tangerang Nomor 5 Tahun 2022;604
202209111239;fixsnews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Pemerintah Selidiki Dugaan Wali Kota Cilegon Ikut Aksi Tolak Pendirian Gereja;605
202209080142;fixsnews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Dipanggil KPK, Anies Baswedan Beri Keterangan selama 11 Jam;606
202209072237;fixsnews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Ini Alasan Partai Buruh Tolak Kenaikan BBM;607
202208111051;fixsnews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;DPD PDI Perjuangan Provinsi Banten Gelar Rakerda II;608
202210230702;fixsnews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Paripurna DPR Sahkan RUU Pemasyarakatan Jadi UU;609
202206280054;fixsnews;Politik;Konflik Kelompo Kepentingan di luar Parpol;Wali Kota Tangerang dan DPRD Sepakati Penetapan Raperda Protokoler;610
202210111930;beritasumut;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Bawaslu Umumkan Calon Panwaslu Kecamatan se Kabupaten Deli Serdang;701
202210031600;beritasumut;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Diberi Otoritas Oleh NasDem, Anies Beri Kode Sosok Cawapres Pilihannya;702
202210011830;beritasumut;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;KPU Medan Gelar Rakor Pemutakhiran DPB, Ada Ditemukan Data Ganda;703
202209292030;beritasumut;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Menuju Pemilu 2024, KPU Deli Serdang Gelar Rakor Pemutakhiran DPB;704
